word,written_freq,spoken_freq,zhuyin,pinyin,tags
['愛'],535,681,['ㄞˋ'],['ài'],"level-1, basic, context-core"
['吧'],706,748,['˙ㄅㄚ'],['ba'],"level-1, basic, context-core"
['八'],214,163,['ㄅㄚ'],['bā'],"level-1, basic, context-core"
"['爸爸', '爸']",226,806,"['ㄅㄚˋ ˙ㄅㄚ', 'ㄅㄚˋ']","['bàba', 'bà']","level-1, basic, context-core"
['百'],108,77,['ㄅㄞˇ'],['bǎi'],"level-1, basic, context-core"
['半'],334,279,['ㄅㄢˋ'],['bàn'],"level-1, basic, context-core"
['本'],745,368,['ㄅㄣˇ'],['běn'],"level-1, basic, context-core"
['不'],9278,8951,['ㄅㄨˋ'],['bù'],"level-1, basic, context-core"
['茶'],89,449,['ㄔㄚˊ'],['chá'],"level-1, basic, context-food-dining"
"['車子', '車']",275,320,"['ㄔㄜ ˙ㄗ', 'ㄔㄜ']","['chēzi', 'chē']","level-1, basic, context-core"
['吃'],668,1438,['ㄔ'],['chī'],"level-1, basic, context-core"
['吃飯'],60,140,['ㄔ ㄈㄢˋ'],['chīfàn'],"level-1, basic, context-core"
['打'],352,364,['ㄉㄚˇ'],['dǎ'],"level-1, basic, context-core"
['大'],2110,2859,['ㄉㄚˋ'],['dà'],"level-1, basic, context-core"
['大家'],464,1712,['ㄉㄚˋ ㄐㄧㄚ'],['dàjiā'],"level-1, basic, context-core"
['大學'],380,219,['ㄉㄚˋ ㄒㄩㄝˊ'],['dàxué'],"level-1, basic, context-education-learning"
['帶'],450,684,['ㄉㄞˋ'],['dài'],"level-1, basic, context-core"
['到'],2297,3229,['ㄉㄠˋ'],['dào'],"level-1, basic, context-core"
['的'],62002,62578,['ㄉㄜ˙'],['de'],"level-1, basic, context-core"
['點'],479,684,['ㄉㄧㄢˇ'],['diǎn'],"level-1, basic, context-core"
['電話'],167,72,['ㄉㄧㄢˋ ㄏㄨㄚˋ'],['diànhuà'],"level-1, basic, context-core"
"['弟弟', '弟']",96,88,"['ㄉㄧˋ ˙ㄉㄧ', 'ㄉㄧˋ']","['dìdi', 'dì']","level-1, basic, context-core"
['東西'],561,1120,['ㄉㄨㄥ ˙ㄒㄧ'],['dōngxi'],"level-1, basic, context-core"
['都'],4645,7029,['ㄉㄡ'],['dōu'],"level-1, basic, context-core"
['對'],3485,5883,['ㄉㄨㄟˋ'],['duì'],"level-1, basic, context-core"
['對不起'],37,65,['ㄉㄨㄟˋ ㄅㄨˋ ㄑㄧˇ'],['duìbùqǐ'],"level-1, basic, context-social-relations"
['多'],1236,1594,['ㄉㄨㄛ'],['duō'],"level-1, basic, context-core"
['多少'],207,272,['ㄉㄨㄛ ㄕㄠˇ'],['duōshǎo'],"level-1, basic, context-core"
['二'],539,227,['ㄦˋ'],['èr'],"level-1, basic, context-core"
['兒子'],277,149,['ㄦˊ ˙ㄗ'],['érzi'],"level-1, basic, context-personal-info"
['分'],225,359,['ㄈㄣ'],['fēn'],"level-1, basic, context-core"
['高'],496,694,['ㄍㄠ'],['gāo'],"level-1, basic, context-core"
['個'],9562,20644,['˙ㄍㄜ'],['ge'],"level-1, basic, context-core"
"['哥哥', '哥']",113,148,"['ㄍㄜ ˙ㄍㄜ', 'ㄍㄜ']","['gēge', 'gē']","level-1, basic, context-core"
['給'],1039,1401,['ㄍㄟˇ'],['gěi'],"level-1, basic, context-core"
['工作'],904,994,['ㄍㄨㄥ ㄗㄨㄛˋ'],['gōngzuò'],"level-1, basic, context-work-career"
['國'],256,363,['ㄍㄨㄛˊ'],['guó'],"level-1, basic, context-core"
['孩子'],1345,1059,['ㄏㄞˊ ˙ㄗ'],['háizi'],"level-1, basic, context-core"
['和'],5437,2135,"['ㄏㄢˋ', 'ㄏㄜˊ']","['hàn', 'hé']","level-1, basic, context-core"
['號'],73,295,['ㄏㄠˋ'],['hào'],"level-1, basic, context-core"
['好'],1887,5853,['ㄏㄠˇ'],['hǎo'],"level-1, basic, context-core"
['喝'],250,296,['ㄏㄜ'],['hē'],"level-1, basic, context-core"
['很'],3068,6550,['ㄏㄣˇ'],['hěn'],"level-1, basic, context-core"
['後'],1593,891,['ㄏㄡˋ'],['hòu'],"level-1, basic, context-core"
['話'],589,1492,['ㄏㄨㄚˋ'],['huà'],"level-1, basic, context-core"
['幾'],963,706,['ㄐㄧˇ'],['jǐ'],"level-1, basic, context-core"
['家'],1060,1286,['ㄐㄧㄚ'],['jiā'],"level-1, basic, context-core"
['叫'],533,570,['ㄐㄧㄠˋ'],['jiào'],"level-1, basic, context-core"
['腳'],208,178,['ㄐㄧㄠˇ'],['jiǎo'],"level-1, basic, context-core"
"['姊姊', '姐姐', '姊', '姐']",108,328,"['ㄐㄧㄝˇ ˙ㄐㄧㄝ', 'ㄐㄧㄝˇ ˙ㄐㄧㄝ', 'ㄐㄧㄝˇ', 'ㄐㄧㄝˇ']","['jiějie', 'jiějie', 'jiě', 'jiě']","level-1, basic, context-core"
['今年'],44,343,['ㄐㄧㄣ ㄋㄧㄢˊ'],['jīnnián'],"level-1, basic, context-core"
['今天'],290,1071,['ㄐㄧㄣ ㄊㄧㄢ'],['jīntiān'],"level-1, basic, context-core"
['就'],7262,16921,['ㄐㄧㄡˋ'],['jiù'],"level-1, basic, context-core"
['久'],276,293,['ㄐㄧㄡˇ'],['jiǔ'],"level-1, basic, context-core"
['九'],138,82,['ㄐㄧㄡˇ'],['jiǔ'],"level-1, basic, context-core"
['咖啡'],55,89,['ㄎㄚ ㄈㄟ'],['kāfēi'],"level-1, basic, context-food-dining"
['看'],1808,3076,['ㄎㄢˋ'],['kàn'],"level-1, basic, context-core"
['可能'],1124,1522,['ㄎㄜˇ ㄋㄥˊ'],['kěnéng'],"level-1, basic, context-core"
['可以'],2312,4257,['ㄎㄜˇ ㄧˇ'],['kěyǐ'],"level-1, basic, context-core"
['塊'],240,542,['ㄎㄨㄞˋ'],['kuài'],"level-1, basic, context-core"
['來'],2983,5979,['ㄌㄞˊ'],['lái'],"level-1, basic, context-core"
['老'],367,267,['ㄌㄠˇ'],['lǎo'],"level-1, basic, context-core"
['老師'],327,1420,['ㄌㄠˇ ㄕ'],['lǎoshī'],"level-1, basic, context-education-learning"
['冷'],71,215,['ㄌㄥˇ'],['lěng'],"level-1, basic, context-core"
['兩'],2149,1737,['ㄌㄧㄤˇ'],['liǎng'],"level-1, basic, context-core"
['六'],306,208,['ㄌㄧㄡˋ'],['liù'],"level-1, basic, context-core"
['路'],300,352,['ㄌㄨˋ'],['lù'],"level-1, basic, context-core"
['嗎'],945,1760,['˙ㄇㄚ'],['ma'],"level-1, basic, context-core"
['買'],262,449,['ㄇㄞˇ'],['mǎi'],"level-1, basic, context-core"
"['媽媽', '媽']",402,1342,"['ㄇㄚ ˙ㄇㄚ', 'ㄇㄚ']","['māma', 'ma']","level-1, basic, context-core"
['沒'],1269,1260,['ㄇㄟˊ'],['méi'],"level-1, basic, context-core"
['沒關係'],27,107,['ㄇㄟˊ ㄍㄨㄢ ˙ㄒㄧ'],['méiguānxi'],"level-1, basic, context-core"
"['妹妹', '妹']",95,83,"['ㄇㄟˋ ˙ㄇㄟ', 'ㄇㄟˋ']","['mèimei', 'mèi']","level-1, basic, context-core"
['沒有'],2443,3355,['ㄇㄟˊ ㄧㄡˇ'],['méiyǒu'],"level-1, basic, context-core"
['們'],560,623,['˙ㄇㄣ'],['men'],"level-1, basic, context-core"
['名字'],182,111,['ㄇㄧㄥˊ ˙ㄗ'],['míng zi'],"level-1, basic, context-core"
['明天'],78,131,['ㄇㄧㄥˊ ㄊㄧㄢ'],['míngtiān'],"level-1, basic, context-core"
['拿'],298,343,['ㄋㄚˊ'],['ná'],"level-1, basic, context-core"
['哪'],275,382,['ㄋㄚˇ'],['nǎ'],"level-1, basic, context-core"
"['哪裡', '哪裏', '哪兒']",221,307,"['ㄋㄚˇ ㄌㄧˇ', 'ㄋㄚˇ ㄌㄧˇ', 'ㄋㄚˇ ㄦ']","['nǎlǐ', 'nǎlǐ', 'nǎr']","level-1, basic, context-core"
"['那', '那裡', '那裏', '那兒']",3314,9035,"['ㄋㄚˋ', 'ㄋㄚˋ ㄌㄧˇ', 'ㄋㄚˋ ㄦ']","['nà', 'nàlǐ', 'nàlǐ', 'nàr']","level-1, basic, context-core"
['難'],307,415,['ㄋㄢˊ'],['nán'],"level-1, basic, context-core"
['呢'],800,1792,['˙ㄋㄜ'],['ne'],"level-1, basic, context-core"
['你'],5891,8736,['ㄋㄧˇ'],['nǐ'],"level-1, basic, context-core"
['妳'],463,1653,['ㄋㄧˇ'],['nǐ'],"level-1, basic, context-core"
['你們'],409,1299,['ㄋㄧˇ ˙ㄇㄣ'],['nǐmen'],"level-1, basic, context-core"
['年'],1952,2976,['ㄋㄧㄢˊ'],['nián'],"level-1, basic, context-core"
['您'],347,764,['ㄋㄧㄣˊ'],['nín'],"level-1, basic, context-core"
['女兒'],220,168,['ㄋㄩˇ ㄦˊ'],['nǚér'],"level-1, basic, context-personal-info"
['朋友'],445,464,['ㄆㄥˊ ㄧㄡˇ'],['péngyǒu'],"level-1, basic, context-core"
['七'],240,151,['ㄑㄧ'],['qī'],"level-1, basic, context-core"
['前'],1041,807,['ㄑㄧㄢˊ'],['qián'],"level-1, basic, context-core"
['錢'],365,489,['ㄑㄧㄢˊ'],['qián'],"level-1, basic, context-core"
['千'],70,75,['ㄑㄧㄢ'],['qiān'],"level-1, basic, context-core"
['請'],488,447,['ㄑㄧㄥˇ'],['qǐng'],"level-1, basic, context-core"
['請問'],24,94,['ㄑㄧㄥˇ ㄨㄣˋ'],['qǐngwèn'],"level-1, basic, context-core"
['去'],2059,4057,['ㄑㄩˋ'],['qù'],"level-1, basic, context-core"
['去年'],36,126,['ㄑㄩˋ ㄋㄧㄢˊ'],['qùnián'],"level-1, basic, context-core"
['熱'],87,262,['ㄖㄜˋ'],['rè'],"level-1, basic, context-core"
