context,vocab,pinyin,pos,level
個人資料,零,líng,N,level1
個人資料,爺爺,yéye,N,level1
個人資料,奶奶,năinai,N,level1
個人資料,家庭,jiātíng,N,level1
個人資料,別人,biérén,N,level1
個人資料,大人,dàrén,N,level1
個人資料,老人,lăorén,N,level1
個人資料,年輕,niánqīng,Vs,level1
個人資料,男生,nánshēng,N,level1
個人資料,女生,nǚshēng,N,level1
個人資料,號碼,hàomă,N,level1
個人資料,在,zài,Adv,level1
個人資料,哪,na,Ptc,level1
個人資料,地址,dìzhĭ,N,level1
個人資料,市,shì,N,level1
個人資料,名,míng,M,level1
個人資料,城市/城,chéngshì/chéng,N,level1
個人資料,街,jiē,N,level1
個人資料,電子郵件,diàn​zĭ​yóu​jiàn,N,level1
個人資料,禮拜,lĭbài,N,level1
個人資料,從前,cóngqián,N,level1
個人資料,剛剛/剛,gānggāng/gāng,Adv,level1
個人資料,一會兒/一會,yīhuĭr/yīhuĭ,N,level1
個人資料,結婚,jiéhūn,Vp-sep,level1
個人資料,春天/春,chūntiān/chūn,N,level1
個人資料,夏天/夏,xiàtiān/xià,N,level1
個人資料,秋天/秋,qiūtiān/qiū,N,level1
個人資料,冬天/冬,dōngtiān/dōng,N,level1
個人資料,笑,xiào,Vi,level1
個人資料,哭,kū,Vi,level1
個人資料,高興,gāoxìng,Vs,level1
個人資料,緊張,jĭnzhāng,Vs,level1
個人資料,可愛,kěài,Vs,level1
個人資料,生氣,shēngqì,Vs-sep,level1
個人資料,難過,nánguò,Vs,level1
個人資料,聰明,cōngmíng,Vs,level1
個人資料,相信,xiāngxìn,Vst,level1
個人資料,經驗,jīngyàn,N,level1
個人資料,辛苦,xīnkŭ,Vs,level1
個人資料,願意,yuànyì,Vaux,level1
個人資料,習慣,xíguàn,N / Vs,level1
個人資料,當然,dāngrán,Adv,level1
個人資料,更,gèng,Adv,level1
工作,醫院,yīyuàn,N,level1
工作,公司,gōngsī,N,level1
工作,辦公室,bàngōngshì,N,level1
工作,工人,gōngrén,N,level1
工作,護士,hùshì,N,level1
工作,司機,sījī,N,level1
工作,老闆/老板,lăobăn,N,level1
