"id","word","written_freq","spoken_freq","zhuyin","pinyin","tags"
1,"愛",535,681,"ㄞˋ","ài","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
2,"吧",706,748,"˙ㄅㄚ","ba","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
3,"八",214,163,"ㄅㄚ","bā","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
4,"爸爸/爸",226,806,"ㄅㄚˋ ˙ㄅㄚ / ㄅㄚˋ","bàba / bà","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
5,"百",108,77,"ㄅㄞˇ","bǎi","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
6,"半",334,279,"ㄅㄢˋ","bàn","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
7,"本",745,368,"ㄅㄣˇ","běn","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
8,"不",9278,8951,"ㄅㄨˋ","bù","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
9,"茶",89,449,"ㄔㄚˊ","chá","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-food-dining"
10,"車子/車",275,320,"ㄔㄜ ˙ㄗ / ㄔㄜ","chēzi / chē","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
11,"吃",668,1438,"ㄔ","chī","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
12,"吃飯",60,140,"ㄔ ㄈㄢˋ","chīfàn","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
13,"打",352,364,"ㄉㄚˇ","dǎ","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
14,"大",2110,2859,"ㄉㄚˋ","dà","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
15,"大家",464,1712,"ㄉㄚˋ ㄐㄧㄚ","dàjiā","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
